SubjectID, Experiment, Height, Gender, Age, LocomotionRandomOrderId, TrialArray
testHaley, locima, , female, , 1, [see code]

Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
 
LOCOMOTION
0, 2, -0.00805917, -0.06638447, -0.9977618, 0.03899202, -0.2481761, -0.9679299, 183.8065, 180.4628, 186.9219, 194.3808, 177.6931, 171.071, 10.57431, 2.769638, -15.85089, 0.6975515, 0.5493628, 0.4600244, -0.2897831, 0.7038608, -0.6485412, 50.05793, 56.59577, 51.77749, 132.6576, 204.0762, 337.6228, 82.59971, -147.4804, 285.8453, -133.7485, 123.867, -135.1444, -61.72314, -26.38304, 166.5518, 72.02539, 150.2501, 301.6962, 23.344
1, 3, 0.03307568, -0.2413926, -0.9698638, 0.0426107, -0.2516264, -0.966886, 193.9765, 178.0468, 172.1979, 194.5873, 177.4766, 170.3886, 0.6107788, 0.5701752, -1.809265, -0.02016313, -0.09270326, -0.9954896, 0.9662302, -0.2559065, -0.03018317, 185.3202, 181.1603, 192.2708, 263.2733, 91.78922, 104.8342, 77.95302, 89.37112, -87.43658, -8.656311, -3.113556, 20.07291, 68.68593, 85.68739, -65.55441, 77.34224, -88.80094, -85.62732, 35.68778
2, 8, -0.002139394, -0.1252336, -0.9921251, 0.04182398, -0.2585555, -0.9650906, 187.1943, 180.1236, 180.9787, 194.9978, 177.5185, 170.8114, 7.803528, 2.605026, -10.16728, -0.03637652, -0.02551583, -0.9990125, 0.3208131, -0.9198078, -0.225904, 181.4631, 182.0854, 234.9528, 256.2013, 125.1517, 160.7721, 74.73825, 56.93365, -74.18066, -5.731186, -1.961807, 53.97408, 61.20354, 52.36682, -10.03931, 66.93472, -54.32863, -64.01338, 20.01995
3, 5, -0.03847959, -0.1412545, -0.9892251, 0.03799398, -0.2561725, -0.9658841, 188.1265, 182.2276, 195.2384, 194.854, 177.7474, 171.5637, 6.727554, 4.480209, -23.67465, -0.2056956, -0.07233348, -0.9759391, -0.7883715, -0.3050285, 0.5342547, 184.2388, 191.9019, 250.6256, 330.2761, 304.1243, 248.8481, 146.0373, -112.2224, -1.777573, -3.88768, -9.674255, 55.38725, 135.4221, -126.3769, 77.28433, 139.3098, 116.7026, 21.89708, 20.59553
4, 1, -0.01573294, -0.07684787, -0.9969188, 0.02564424, -0.2577265, -0.9658775, 184.4079, 180.9041, 191.5702, 194.9402, 178.4791, 174.3177, 10.53229, 2.425003, -17.25252, 0.7218685, -0.5630876, -0.4022918, 0.2031988, -0.01783684, -0.9789751, 234.4565, 119.1306, 127.9557, 181.0438, 168.274, 95.01658, -53.4127, -49.14344, -32.93915, 50.04857, 61.77355, -63.61446, -13.89642, 10.20511, -79.30109, -63.94499, 51.56844, -15.68663, 14.09015
5, 7, -0.04612167, 0.06351601, -0.9969149, 0.02944674, -0.2656258, -0.9636264, 176.3545, 182.6489, 324.015, 195.411, 178.2497, 173.6741, 19.05653, 4.39917, -150.3409, -0.08313577, 0.08197496, -0.9931608, -0.2878356, 0.7395793, -0.6084185, 175.2815, 184.785, 314.5972, 129.4426, 205.3183, 338.7346, -45.83894, -20.53329, 24.13739, -1.072922, -2.136108, -9.417816, -65.9684, -27.06857, 165.0604, -64.89548, 24.93246, 174.4783, 0.256214
6, 4, -0.04020356, 0.05692708, -0.9975686, 0.02905937, -0.2659132, -0.9635589, 176.7339, 182.3079, 324.7691, 195.4279, 178.2726, 173.7634, 18.69398, 4.035278, -151.0058, -0.03298031, 0.05071401, -0.9981686, 0.4376205, 0.4311711, -0.7890373, 177.0915, 181.8924, 326.9633, 151.3455, 150.9861, 45.42532, -25.74596, 30.9063, -281.5379, 0.3575439, 0.415451, 2.194122, -44.0824, 27.28647, -128.3381, -44.43994, -26.87102, -130.5322, 0.2626294
7, 6, -0.06365852, -0.08241276, -0.9945632, 0.02954243, -0.2584845, -0.9655635, 184.7369, 183.6623, 217.6838, 194.9868, 178.2475, 173.4799, 10.24995, 5.41478, -44.20386, -0.01001893, -0.03149107, -0.9994538, 0.4342195, 0.4320949, -0.7904096, 181.8047, 180.5743, 197.6485, 151.3358, 151.2174, 45.14052, -30.46889, 29.35696, -152.508, -2.932205, 3.087967, -20.03522, -43.65105, 27.03015, -128.3394, -40.71884, -23.94218, -108.3042, 0.2773061
8, 1, -0.009180995, -5.217254E-05, -0.9999582, 0.02938391, -0.263107, -0.9643191, 180.003, 180.526, 269.6744, 195.2612, 178.2547, 173.6276, 15.25826, 2.271378, -96.04681, 0.02257874, -0.01697623, -0.9996009, -0.04759816, -0.90379, 0.4253211, 180.9729, 178.706, 126.9383, 295.2015, 353.6145, 183.0147, 114.2286, -174.9085, 56.07636, 0.9699554, 1.820007, -142.7361, 99.94029, -175.3599, 9.3871, 98.97034, 177.1799, 152.1232, 0.1954129
9, 4, -0.05280659, -0.02185709, -0.9983656, 0.032034, -0.2612171, -0.9647484, 181.2542, 183.0277, 247.5149, 195.1503, 178.0982, 173.0085, 13.89609, 4.929504, -74.50639, -0.04643251, -0.03479465, -0.9983152, -0.7662139, -0.3067241, 0.5646561, 181.9961, 182.663, 233.1536, 331.489, 306.3881, 248.1832, 149.4928, -123.7252, 15.02962, 0.7419739, 0.3647614, -14.36133, 136.3387, -128.2899, 75.17468, 135.5967, 128.6547, 89.53601, 0.2177388
